	plan_id	state	metal_level	rate	rate_area
18798	28635YK8801554	AZ	Silver	292.9	2
11621	23783BR0350530	AZ	Silver	293.29	6
15871	67967DB8080392	AZ	Silver	294.35	2
1212	31397VZ2478960	AZ	Silver	294.8	4
7658	75408VN1205295	AZ	Silver	294.8	4
7955	31438SR9762974	AZ	Silver	294.8	7
9939	60026TS7728882	AZ	Silver	294.8	7
16413	20066OF8675297	AZ	Silver	294.8	4
20813	70476XA2125148	AZ	Silver	294.8	7
3850	60823PF6946241	AZ	Silver	294.99	2
5140	75340SZ1209190	AZ	Silver	294.99	2
5475	14961BT1716865	AZ	Silver	294.99	2
14371	30501FD2986458	AZ	Silver	294.99	3
16538	72484QX9037764	AZ	Silver	294.99	3
21551	06897JW3802114	AZ	Silver	294.99	3
4723	45029NT8214999	AZ	Silver	295.86	6
20922	02635NB6894653	AZ	Silver	296.72	5
13785	37902RN9768674	AZ	Silver	298.99	7
3998	16685LZ7696773	AZ	Silver	301.38	1
8194	74964WY1570484	AZ	Silver	301.38	1
15717	14825LL6069575	AZ	Silver	301.38	1
19504	67670WH2998858	AZ	Silver	301.38	1
11051	42554JW9121071	AZ	Silver	303.86	5
6204	38973GF7910874	AZ	Silver	304.32	4
16887	45102VC8890238	AZ	Silver	304.32	7
16583	38575QA0298115	AZ	Silver	305.27	6
4556	53124ON9372527	AZ	Silver	306.35	4
10079	58996UN0636145	AZ	Silver	307.66	7
6229	33169TI0350747	AZ	Silver	310.06	7
1700	08414UC7397344	AZ	Silver	311.08	6
17868	99957WV7910250	AZ	Silver	312.15	7
14450	34567GR6906152	AZ	Silver	312.19	4
21524	01591SL7801591	AZ	Silver	312.67	5
16659	29750RY9394804	AZ	Silver	313.56	2
11732	80425QQ2525239	AZ	Silver	314.93	5
1020	36246YO5851235	AZ	Silver	314.99	2
11364	76958GB5989660	AZ	Silver	314.99	2
17934	11832HZ0073571	AZ	Silver	314.99	3
18050	70388ZV7229621	AZ	Silver	314.99	3
18436	77020KP6142869	AZ	Silver	314.99	2
20196	17409VS2528090	AZ	Silver	314.99	3
9339	53290PY2018393	AZ	Silver	315.11	5
9639	29776CS1959853	AZ	Silver	317.23	5
12424	38404LM3678975	AZ	Silver	317.97	1
13502	91579QU4378107	AZ	Silver	317.97	1
21817	93058ZU3614460	AZ	Silver	317.97	1
17750	17360SS9870129	AZ	Silver	320.2	7
10337	88299XL8309818	AZ	Silver	324.73	5
20437	64182RG3696764	AZ	Silver	325.44	1
3297	52286HP7027856	AZ	Silver	325.57	5
21160	62608NS0085506	AZ	Silver	327.75	1
4889	86567ED6390537	AZ	Silver	330.91	5
4616	70258NY7267307	AZ	Silver	333.92	7
9492	24737RV8297065	AZ	Silver	333.92	4
764	36912LD7555097	AZ	Silver	335.48	5
2378	06853QE6751450	AZ	Silver	339.02	1
8266	85976LR6297045	AZ	Silver	339.02	1
17510	84606EN0317829	AZ	Silver	339.02	1
5757	28706VT1854053	AZ	Silver	341.09	7
249	27397MJ5617089	AZ	Silver	341.19	4
390	46568XD1237028	AZ	Silver	343.92	7
21910	42185PV9311064	AZ	Silver	344.15	4
5441	40833OI8485368	AZ	Silver	345.62	2
11805	34979QB1937757	AZ	Silver	345.62	3
13602	03466LE1829051	AZ	Silver	345.62	2
13983	92828GM6210341	AZ	Silver	345.62	3
21702	12028QL8602262	AZ	Silver	345.62	3
22150	69819CF6375727	AZ	Silver	345.62	2
1450	01614QU0764323	AZ	Silver	345.8	1
11420	54821YQ0115738	AZ	Silver	346.9	7
4505	69876EW3335401	AZ	Silver	347.13	5
1376	93816OL9037495	AZ	Silver	349.97	1
14213	19475RS6760307	AZ	Silver	350.01	4
16536	15945LD5543548	AZ	Silver	352.81	7
12	72190DW3284384	AZ	Silver	353.37	4
12592	17444BE2495616	AZ	Silver	353.73	3
20144	09669UL7912437	AZ	Silver	353.73	2
19457	50591VE7975261	AZ	Silver	356.03	4
20859	45837ST4888639	AZ	Silver	356.03	7
9611	64029MQ1736505	AZ	Silver	356.19	7
3453	31555MA1006796	AZ	Silver	356.25	3
4524	43938NS4318508	AZ	Silver	356.25	2
2392	68534NB7921214	AZ	Silver	361.69	5
7070	99827FG5208434	AZ	Silver	361.69	1
14524	62719EW9682696	AZ	Silver	361.69	3
17900	99232HY2418053	AZ	Silver	361.69	7
20554	36772VP8194014	AZ	Silver	361.69	2
1418	27524BC6187139	AZ	Silver	366.56	7
5323	42997DJ0269602	AZ	Silver	366.56	1
6708	14898SJ1234254	AZ	Silver	366.56	3
11241	59691EV2892648	AZ	Silver	366.56	5
12464	78064XE1674412	AZ	Silver	366.56	2
11967	64447PW4223609	AZ	Silver	368.36	1
5421	94583OM9998069	AZ	Silver	368.5	3
5827	65140UT9927541	AZ	Silver	368.5	3
13002	50426YB9936157	AZ	Silver	368.5	2
13808	85352RS1899667	AZ	Silver	368.5	3
16495	49778XA1390510	AZ	Silver	368.5	2
22236	07150US9925620	AZ	Silver	368.5	2
2247	40698AJ9434344	AZ	Silver	379.06	5
5019	32687BF4673406	AZ	Silver	380.4	3
18647	55700KR1095538	AZ	Silver	380.4	2
2947	34701BK0978043	AZ	Silver	382.35	5
4732	55870IB6789495	AZ	Silver	384.01	1
1658	69321DK2914858	AZ	Silver	388.87	5
15457	75847WS1834431	AZ	Silver	389.14	1
18079	29964KV3970528	AZ	Silver	391.8	2
21765	89580GG8206261	AZ	Silver	392.59	5
13633	81962QX4160183	AZ	Silver	396.55	1
1822	70691KN8718222	AZ	Silver	403.16	2
3482	02672EZ3588273	AZ	Silver	406.3	2
7866	05630YS2251580	AZ	Silver	409.04	2
12051	19341DQ2700436	AZ	Silver	409.2	2
5671	89906OB2160989	AZ	Silver	409.43	1
15858	52412PP9525076	AZ	Silver	413.18	1
374	64875VB5128196	AZ	Silver	416.99	2
14018	33909TB0042095	AZ	Silver	417.4	3
21500	23328UI8791980	AZ	Silver	417.4	2
21415	00406JF0048618	AZ	Silver	421.24	3
16106	96853EM6552662	AZ	Silver	425.16	1
21070	31763YS4996199	AZ	Silver	428.47	1
4583	35888SX1271378	AZ	Silver	429.25	3
20834	33437CE6369713	AZ	Silver	429.26	7
17509	88581PU9085290	AZ	Silver	431.36	1
6552	69378NT5210012	AZ	Silver	437.42	7
15840	80803WZ0122148	AZ	Silver	445.04	3
16644	97073BR8563511	AZ	Silver	445.04	2
5123	35793RQ0975181	AZ	Silver	458.22	1
21624	46333UM5531445	AZ	Silver	462.19	1
21218	98584HG6334961	AZ	Silver	467.77	3
20269	76100VK3186831	AZ	Silver	470.07	1
13389	14676ZS9958812	AZ	Silver	471.82	3
889	43602DN9549796	AZ	Silver	474.57	1
26	63200WG1022541	AZ	Silver	479.87	3
11030	44316HR4159159	AZ	Silver	484.46	3
11489	36386GX4868032	AZ	Silver	493.02	2
13437	84756TJ1226467	AZ	Silver	497.29	2
13341	81453BS2107326	AZ	Silver	505.77	2
18147	01505QU5442374	AZ	Silver	510.61	2
14804	19004FQ4975326	DE	Silver	289.77	1
1661	51731RS5584018	DE	Silver	293.2	1
13775	41962XU0044285	DE	Silver	293.2	1
1238	80657DZ1213170	DE	Silver	318.71	1
773	79780PM6076909	DE	Silver	328.51	1
5766	12775ZE2722544	DE	Silver	339.81	1
21224	36472OX6314516	DE	Silver	350.26	1
9654	63204QA6520028	FL	Silver	214.32	63
16734	19631CX0890818	FL	Silver	228.95	30
12988	49411LR1003940	FL	Silver	229.08	50
20426	15113PR1391811	FL	Silver	231.68	63
403	77361SW2442276	FL	Silver	234.75	6
3045	04576KY4422682	FL	Silver	235.79	6
10930	90870PG0702469	FL	Silver	237.34	64
16817	94112CV2085058	FL	Silver	247.51	30
6993	20109GT1809009	FL	Silver	249.83	22
20087	69339QU6338908	FL	Silver	254.16	60
19772	04524DP0379446	FL	Silver	257.16	3
6801	60320DF8848650	FL	Silver	257.92	59
7361	18700KG6807070	FL	Silver	258.49	46
17205	93837OA6380457	FL	Silver	260.94	55
1914	41636VL2842132	FL	Silver	263.86	64
9793	49390KS0892692	FL	Silver	263.86	15
3179	41679GO8410800	FL	Silver	263.91	56
10825	17745XJ1525860	FL	Silver	263.91	40
18919	97339ZN6033731	FL	Silver	264.3	56
21884	02242EG5781370	FL	Silver	264.3	40
10361	21216QA6133871	FL	Silver	264.49	34
1915	40606ES3982067	FL	Silver	265.03	15
12024	04362CL9906851	FL	Silver	265.03	64
3352	56936SL6660658	FL	Silver	265.12	6
22129	12004US8683967	FL	Silver	265.49	41
18287	90650NC1152288	FL	Silver	266.82	26
12159	62288JT9586219	FL	Silver	266.96	43
485	58990ER8374115	FL	Silver	267.27	3
15905	96333QM9236073	FL	Silver	268.48	28
9981	26430RN5105260	FL	Silver	268.49	52
18315	03280BD3716370	FL	Silver	268.49	51
21914	69314EJ0307032	FL	Silver	268.49	28
3506	74831WZ5174065	FL	Silver	268.56	16
16422	30661OL0676009	FL	Silver	268.56	55
1570	37792CL0480171	FL	Silver	269.74	55
10111	93020FN2458366	FL	Silver	269.74	16
6940	15789FB1445800	FL	Silver	269.81	46
19757	68482FF8963234	FL	Silver	269.87	66
10652	84506RY9780864	FL	Silver	271.92	43
14230	86864HT0861365	FL	Silver	271.98	9
18864	73105JI5854471	FL	Silver	272.81	43
21594	78665CL0619047	FL	Silver	272.84	41
11516	80592QE6786240	FL	Silver	272.86	15
12323	77689TM1755895	FL	Silver	274.15	30
16268	80703UZ9004312	FL	Silver	275.25	22
12667	08192ML5887212	FL	Silver	277.81	51
14341	98124PH8087192	FL	Silver	278.2	43
9244	55770HI5866346	FL	Silver	278.8	59
18689	94410US1695049	FL	Silver	280.02	60
17012	55570XD5748227	FL	Silver	280.06	50
2330	06615LI8139900	FL	Silver	280.46	52
7689	51672YV5547912	FL	Silver	280.46	50
21221	96780FC1015944	FL	Silver	280.57	43
7404	51222SM6174552	FL	Silver	280.87	50
15396	95196QV6233010	FL	Silver	280.87	52
86	04831VO7684335	FL	Silver	280.92	34
3120	29343EK7475215	FL	Silver	280.92	49
19003	03604VP3835304	FL	Silver	280.92	57
19868	16592VT2294917	FL	Silver	280.92	48
20141	64041YG5071552	FL	Silver	281.03	8
20949	99015OB9779064	FL	Silver	281.03	51
4405	33050TF3108502	FL	Silver	281.14	9
5206	59956AB2279374	FL	Silver	281.29	50
17306	25798LU6951006	FL	Silver	281.37	43
10099	16899RN7022538	FL	Silver	281.42	67
4547	34560OR0176299	FL	Silver	281.44	51
19877	61587VN9145064	FL	Silver	281.44	8
19021	93318HY2000146	FL	Silver	281.81	10
21731	57010HG8361931	FL	Silver	282.08	55
924	58422EK7955674	FL	Silver	282.57	65
12316	15242JJ5846140	FL	Silver	282.57	32
16789	30467HP1816762	FL	Silver	282.57	62
8027	31335XY2519292	FL	Silver	283.14	52
14714	25507NZ6808535	FL	Silver	283.32	3
21094	40616RF0033050	FL	Silver	283.37	43
16237	84592TK7812297	FL	Silver	283.47	15
17995	90632MC4663045	FL	Silver	284.16	42
5899	99390NX4820075	FL	Silver	284.24	40
9278	22780CX2244747	FL	Silver	284.47	4
21812	09755YI0246822	FL	Silver	284.73	28
8159	00765GM3969322	FL	Silver	284.79	46
21124	15275EI9108629	FL	Silver	284.81	66
2354	82491VO4331901	FL	Silver	284.96	28
11164	30496SG6068351	FL	Silver	285.03	7
18440	54690GS4820103	FL	Silver	285.15	28
7040	54020QI0256277	FL	Silver	285.31	6
10698	28931JS5562312	FL	Silver	285.43	6
12793	67139DY7339908	FL	Silver	285.48	50
18097	58586QQ4850409	FL	Silver	285.73	6
933	50352IW4728232	FL	Silver	285.87	56
3548	42934QY0593522	FL	Silver	286.14	8
3721	31907QY5720693	FL	Silver	286.16	26
6885	32688KO8270064	FL	Silver	286.58	26
21115	43778II4400381	FL	Silver	286.6	43
4027	40616CO3403885	FL	Silver	286.7	36
2436	39731JN4329652	FL	Silver	286.74	8
12483	53275YS8717422	FL	Silver	287.16	4
3104	27665EB2275285	FL	Silver	287.55	22
9794	42138WL2020613	FL	Silver	287.64	26
1431	71667DX9562448	FL	Silver	288.14	5
2049	54448BR0116023	FL	Silver	288.16	41
7225	20378IL4611084	FL	Silver	288.29	43
19687	53009BN8431804	FL	Silver	288.58	41
9063	29100BO0804689	FL	Silver	288.65	12
2822	81690WD6588521	FL	Silver	288.87	43
3989	60685WQ4773123	FL	Silver	288.92	3
16903	15663XW8562669	FL	Silver	289.1	9
12591	27993XI7962679	FL	Silver	289.83	54
13890	72254EN6526478	FL	Silver	290.24	48
13418	17654LR2084930	FL	Silver	290.28	52
2684	45013EM4717413	FL	Silver	290.44	58
8100	33914TZ4560432	FL	Silver	290.44	15
8024	60312FK0754058	FL	Silver	290.73	6
16078	15087ID5988226	FL	Silver	290.73	5
10077	90400LH5661228	FL	Silver	290.87	58
19240	42631NY6613909	FL	Silver	290.87	15
11134	97632TH5667162	FL	Silver	291.13	2
3967	37914RG3462990	FL	Silver	291.15	5
7721	95806DB1831376	FL	Silver	291.4	34
3577	02060SG0011302	FL	Silver	291.58	35
8555	18437RP5974553	FL	Silver	291.66	46
13577	03878ZV9119961	FL	Silver	291.74	66
10870	21045VV4827480	FL	Silver	291.8	56
19855	02198TN0997125	FL	Silver	291.8	42
6124	55173DK5550555	FL	Silver	291.85	64
6366	33339CU3032494	FL	Silver	291.87	4
15658	79434HO3289430	FL	Silver	291.87	1
915	99704KL9406904	FL	Silver	292.01	35
4587	28082FU3930770	FL	Silver	292.3	4
21275	09379NE2255273	FL	Silver	292.3	1
12211	15372OQ3425556	FL	Silver	292.39	43
19861	78339ZE7815170	FL	Silver	292.5	41
11005	89575YF9815589	FL	Silver	292.53	60
10293	77775YJ2974161	FL	Silver	292.69	51
19684	69001DP2868464	FL	Silver	293.27	22
5615	27441BD2178389	FL	Silver	293.47	27
6447	95387BO0727710	FL	Silver	293.65	43
